IBD_DN,IBD_UP
XRCC3,NR1I2
MSH2,KRT13
VPS72,CCP110
CCR7,TMEM144
C11orf80,DMRTA2
SLC25A38,SECTM1
TBCC,IPMK
ZNF781,SNX16
DNM1L,G0S2
FARS2,PXK
SNORA14B,BMX
MPHOSPH9,GNA13
ZNF317,SMIM10L2A
TMEM241,ADGRF3
SLC40A1,FLVCR2
MYOM2,KISS1R
GOT1,PI3
DDX31,LAP3
DPP4,AATF
NUP205,SRGN
NID1,AP2M1
FCRLA,IFI16
SUV39H1,GAS6-AS1
ART4,TGM2
FBXO47,PTGFR
NAA30,PRSS3
FAM129C,NKIRAS1
NUP85,SRMS
ARHGEF12,FIG4
ZDHHC1,KCNK15
ABCB4,RNF151
ANGEL1,JUN
CH17-351M24.1,LPCAT2
GTF3A,IL17B
OTOGL,MT3
RPS25,PPP1R26
UBE3D,TAS1R3
KIF23,OMP
ACSF2,RBKS
ZNF337,MIR193A
MIR136,TSPAN9
PPIH,HIST1H3A
TRIM28,DKK3
CLRN3,MROH5
RASSF1,C1orf116
ZBTB24,CST4
ZNF573,PSMB2
ORAI1,KRTAP5-10
BNIP1,CARD6
EHMT2,HIST1H2AK
SMIM4,CLCN2
GPR174,LMTK3
NOB1,KRTAP4-2
BDH1,SLC25A37
CCDC86,APOL6
MSTN,S100P
CHORDC1,PRSS27
POLR1B,SELV
TXNL4B,HMX2
FAM76A,ELK3
LOC494141,RAB11FIP3
ZNF74,AREG
TP63,FAM162B
SCRN1,GBAS
STAT4,CLIP1
CPEB1,PFN1P2
OXNAD1,LILRA6
CACNA2D3,SLC25A40
SLC7A6OS,INSM2
NOLC1,IRX5
CCNB1IP1,C6orf25
GFRA2,NATD1
TAS2R13,VCAN
SRPRB,ANKRD13A
KBTBD6,PDCD1LG2
IL12RB2,PCBP1
KCNN4,OGFRL1
ABCF3,NFKBIB
FUOM,ERP29
C14orf169,TFAP2E
DCPS,PLB1
IPO7,RAB11A
PMM1,LOC729040
TBC1D32,ANKK1
TCF25,RTN4RL2
SFXN4,CLEC4D
KANSL3,RTP4
NDUFV1,PTGS2
NAT9,PTPRJ
SH2D1A,LOXL4
PNPLA7,DNAAF1
ING5,KRT8P41
PYHIN1,FAM20C
SLC38A1,ZNF267
UROS,CXorf21
DHRS3,ATXN7
RANGRF,DACT3
MTG1,C2CD4A
CTSF,SCYL3
FCRL5,GPRIN3
SAAL1,PANX3
KIAA0907,FAM110B
YIF1A,PTGER2
UNC119B,KY
CC2D2A,PCMT1
SDHAF2,C17orf105
NCAPD3,DPYS
DDX10,TGFA
PPIE,HHIPL1
BCHE,RAB5A
OPHN1,NRG2
C1orf220,ALDH1A3
PHF20,CD300E
RBM11,NXPH3
PI4KB,CA10
JADE2,SALL3
PAX5,SCD
GCDH,MAN1A1
NRG4,NKX2-5
FCRL6,PPAP2C
PCDH12,RRAGD
MRPL17,SIM2
ZNF451,MRGPRE
POLR3C,CLSTN3
SIGLEC10,C19orf80
DCT,NUB1
NDUFS6,LMO7DN
THADA,CELA2A
REG3A,UBE2D3
C4orf45,INSM1
METTL21A,LINC00083
TRPC2,PAM
CFAP47,STK32B
LY86,LOC100129940
SULT1E1,LRRK2
RNU6ATAC,PHLDA2
GPATCH11,LHFPL2
ENHO,HIF3A
CIAPIN1,ERCC6L2
MRPL57,CHRM1
COMMD7,ZNF189
DAD1,PTPRN
MRPL38,KRTAP1-4
FSCB,KRT77
AIMP2,DIRC2
ARRDC2,LOC403323
DPEP2,PIPSL
OR9I1,UROC1
LPL,TINCR
S100B,LOC729603
AFMID,A4GALT
DNAH8,PTPRU
SSX2IP,FZD9
C12orf60,OTX1
GNGT2,WNT9A
PMPCA,GH1
CS,SIRPA
MRPL40,WIPF1
MKS1,IGFBP4
EEFSEC,GALNS
WLS,PLXNA2
RINT1,LRG1
ZNF610,LRRTM3
DIS3L2,PLA2G12A
RBFOX1,TNP2
SLA2,IL4R
ADGRE5,COL4A3BP
C1orf54,MT1P3
SMC2,HEXDC
NCR3,LRRC4
ADD2,NRD1
SGCB,CD46
UPK3A,DNTTIP2
SLC2A1,TYROBP
OLIG1,VAMP4
PDCD11,IL17D
FDX1L,UPK1A-AS1
KLF8,SLC3A2
ADGRG5,CTSD
ZBED8,MAPK8IP2
DENND4A,WNT9B
C11orf58,TP53INP2
SCG3,PARL
OR10R2,MYLK3
YWHAZ,DHFRL1
HEMK1,MRPL14
HINFP,LILRB3
SPATA5L1,CRB2
GPLD1,AK4
CDK4,ZDHHC13
PELP1,RXFP3
TFAP4,RNF222
ADAT2,RHBDD3
EPHX1,LOC101929908
APBA1,ACTA1
C1QBP,LDLR
C3,NFIX
CRYM-AS1,KRTAP5-7
LIN28B,UBE2G1
RRP1,IDH1
PTPN18,OXTR
NOP14,EN2
AARS,SLC39A4
OR2B2,LRP10
CXCR5,CCNJ
CPB2,PRKAR1A
POLA2,VRK2
NFATC2IP,PLAT
TNPO3,HAND1
MRPS2,ATP2C1
MDGA2,CFAP74
ABCC4,CEP170B
LRRC19,PTP4A1
CCDC67,MNX1
ORC3,KIAA1614
NUP43,PDK3
OR5K1,LOC100130285
ACOT2,CBFB
LAX1,C1QC
MIRLET7G,NOL4
NCAPH2,SOST
CR2,GATA5
YIPF2,PTPN1
SNORA33,IGFN1
COQ4,KRTAP5-9
IFRD2,RHOG
GLMN,MAP4K3
CD24,PYGL
SNORA46,LIN7A
TAS2R4,SAMD9L
TSR1,IGLC1
GYPE,LPCAT3
Mar-09,PRSS29P
SEC13,IRF2BP2
FAH,C2orf57
ACTL7A,RAB1C
MRPL45,HGFAC
COQ10A,TMEM255B
EMG1,GNAQ
BUD31,PODXL
C10orf2,FLJ26245
IDI2,ARPC5
TMEM134,EXOC3L2
TPH1,C1D
FZD1,SPANXA2-OT1
ARHGAP32,B4GALNT3
BORCS5,PPP4C
PFKM,ADIPOR1
CENPL,RAC3
GSTA4,CD53
C15orf61,GTF2A1
POLR1A,PHF21B
MIR30D,TMBIM6
RAD50,ATP6V0E1
MOB1B,ATP6V1A
CEP85,CAB39L
CD1B,WNT11
DOPEY2,AP5B1
RNF40,FGFR1
CNTNAP4,CTXN1
CUL4A,PSMD10
CCNE2,CTBS
FCGBP,TMEM54
ICAM2,LRRC63
MRPS11,RBM47
RHOH,CLEC4GP1
MTSS1,ABCA7
PSME4,FGD4
NOL11,UBE2L6
LAGE3,RTP1
SNORD116-27,PGLYRP1
EIF3D,SDC1
METTL2B,ROPN1L
